Atributo,Descripción,Tipo,Ejemplo
Franchise,Nombre de la franquicia,Alfanuméricos,Wii
Year of inception,Año de creación de la compañía,Alfanuméricos,2006
Lifetime revenue,Estimación de los ingresos totales en billones incluyendo el año hasta el cual se consideran los datos,Alfanuméricos,"	est. $14.808 billion (as of 2018)"
Revenue breakdown,"Columna compuesta, incluye el nombre del juego de la franquicia o rango de años de la liberación de versiones del juego, ylos ingresos en billones de dólares",Alfanuméricos,"Wii Sports – $6.08 billion[104]
Wii Fit – $5 billion[51]
Other games – $3.728 billion[l]"
Franchise owner(s),Dueño de la franquicia,Alfanuméricos,Nintendo
Original platform(s),Plataforma,Alfanuméricos,Wii
Original genre(s),Genero del juego,Alfanuméricos,"Simulation
(Sports)
Exergaming"
